Scene Number,Instruction Type,Instruction
77,,
78,S,"after the stop sign, stay on the right to go straight "
79,,slow down as you go around the curve 
80,d,watch out for the cars turning left 
81,d,"keep behind the red car, go straight then follow the man in the yellow vest "
82,d,stay on the left side to make space for the bicyclist 
83,d,slow down and stop to let the pedestrian pass
84,d,turn left and follow the semi truck
85,,turn left 
86,,
87,"s,d",at the stop sign watch out for incoming traffic on the right
88,"s,d","follow the yellow semi truck, turn right, then turn left at the stop sign"
89,,
90,,
91,d,make space for the bicyclist on your right
111,d,"follow the instructions from the person in the vest, and watch out for stopped vehicles in the road "
112,,
113,,
114,d,turn right at the light but watch out for the dark suv turning left 
115,d,slow down for the tour bus turning left
116,d,slow down for the pedestrian crossing the road
117,s,turn right but stay on the left watching for the barricade
118,s,take the second exit in the roundabout
119,,
140,,
142,,
143,d,"go past the cars stopped in the road by veering into the other lane, then return back to the left "
144,d,after the motorcyclist passes go straight
145,d,switch to the right lane then back to the left to pass the black car 
146,,
147,s,slow down over the crosswalk speed bump
148,s,turn right where you see the pedestrian waiting to cross
265,d,stay on the right to avoid the car going straight then slow down 
266,s,slow down because the road gets windy
279,d,slow down for the walking pedestrian on your left
280,d,follow the white car in front of you
281,s,veer into the right lane to avoid the stopped yellow car 
282,s,slow down for the black and yellow speed bump
307,d,veer into the right lane to avoid the truck and then turn left 
308,d,turn right where you see the pedestrian in the orange shirt walking
309,,
310,d,stay on the right to avoid the pedestrian walking on the left
311,s,turn left at one-north Link then stay in the left lane 
312,,
313,d,slow down and stop in front of the green truck
314,d,turn left then slow down and stay on the right as you pass the stopped truck
333,d,slow down for the two cars coming into the lane and follow the vested person's instructions
334,,
335,s,turn right at the stop light then stay in the middle lane
336,s,after the light slow down and keep distance away from the barricades 
337,,
338,d,watch out for the pedestrian on the right then watch out for the white taxi merging into the lane
339,,
340,"s,d",slow down at the stop light for the pedestrian crossing the intersection
341,,
342,s,at the stop light get into the leftmost lane
343,,
481,,turn left 
482,d,go around the white semitruck and follow the car in front of you
483,s,get into the right turn lane at the stop light 
484,s,turn right and stay in the middle lane
485,d,stay on the left and slow down for the pedestrian on the right 
486,,
487,s,"veer into the left lane to avoid the cones, then get back into the right lane "
488,"s,d",get into the left lane to pass the parked car and construction
489,,
490,d,slow down as the black sedan slightly passes into your lane and keep distance from pedestrians crossing 
491,,
492,,turn right 
493,d,slow down for the pedestrians crossing
494,d,slow down for the pedstrian in the hat jaywalking 
495,d,slow down for pedestrians crossing the street 
496,,
497,,
498,,
547,s,after the light change to the right lane 
548,,
549,d,slow down for the parked car and pedestrians on your right
550,s,pass this first exit then take the second exit on the roundabout
551,s,turn right at the stop sign
601,,
602,,
603,,
604,,
606,,
607,,turn left
608,,
609,s,change into the right lane 
610,,
611,s,turn right at the stop light
612,s,turn left at the stop light
613,,
614,,turn left 
615,,
616,,
617,,
618,s,at the stop sign turn left
619,s,get in the left turn lane at the stop light
620,,
621,d,wait for the gray sedan to turn left then go straight
622,s,turn left at the stop light
623,,
624,,
827,"s,d",slow down for the speed bump and the pedestrian crossing
828,s,stay on the left and slow down for the speed bump
829,,
830,,be careful for a sharp curve going left
831,,
833,s,at the stop sign turn right
834,s,turn right at the blue banner
835,d,slow down for pedestrians crossing
836,s,slow down for speed bump
837,,
838,d,slow down and stay behind motorcyclist
839,s,at the stop light turn right and stay in the right lane
840,s,change into the left lane after the u turn sign 
841,,
842,s,at the stop sign turn left
844,,
845,,
846,,
932,d,stay on the right side for the pedestrian on your left
933,s,stay in the left lane when entering the roundabout but then keep to the right 
935,,
936,"s,d",get in the leftmost lane following the yellow bus
937,,
938,d,follow the pink coca cola truck
939,d,follow the pink coca cola truck and turn left
940,,
941,d,stay on the right following the coca cola truck
942,,
943,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,s,slow down for the speed bump then turn left at the stop light
1034,,
1035,s,stay on the left side 
1036,s,at the stop light turn left
1037,,
1038,,
1039,d,turn right where the white truck is stopped
1040,d,slow down for the pedestrians crossing
1041,d,slow down for the pedestrians crossing
1042,s,after the speed bump turn right
1043,,
