Scene Number,Instruction Type,Instruction
1,d,"Turn left, then stay on the right side to avoid hitting the person on the right side of the truck. Go back to left lane once obstructions on left lane are gone."
2,s,"Turn left, then slow down right before the speed bump to reduce impact."
3,ds,"Slow down on the speed bump, come to a stop near the toll gate until it opens, slowly proceed but watch out for the group of individuals crossing the street, then turn left"
4,,
4,d,"Slightly slow down for the person crossing the street, then preceed as normal."
5,s,"Switch to the left lane to avoid the construction on the right lane, and preceed on the right lane after the construction is clear."
6,ds,Slightly go to the right to avoid hitting the person walking down the left lane
6,s,"Switch to the right lane when you see the truck on the left lane, then go back to the left lane once the truck is gone, then turn left"
7,d,Turn left after the two individuals cross the street
7,d,"Slow down when the people are crossing the street on the left side, then proceed normally."
8,s,Take the left that comes right after the white truck on the right side of the road.
9,,
10,s,Switch to the left lane after passing the final obstructing car parked on the left lane.
11,ds,Avoid the vehicle and obstructions in front of you by getting onto the middle of the road. Drive slowly and go back to the original lane once obstructions clear.
12,,
12,d,Slow down when the  orange bus turns into your lane.
13,d,Follow the orange bus.
14,d,Follow the orange bus.
15,d,Follow the orange bus.
16,s,"Turn left, switch to the right lane when you see the stationary white truck"
17,s,Switch to the left lane when it appears
17,d,Stop when the people are crossing the road
18,,"Turn left, then turn left again when you can"
19,,Turn left
19,,
19,d,Stop when you see the group of people at the stopwalk
20,d,Turn to the right once the car has passed through
21,d,Turn right once the car has passed through the intersection
22,,Switch to the left lane
22,,Take the first left
22,s,Switch to the right lane when you see the stationary car ahead.
23,s,Go to the left lane after you pass the car
23,,
24,ds,Come to a full stop before entering the intersection. Then merge onto the road if no cars are coming.
25,d,"Wait for the person to cross the street and for the car to pass through the intersection, then turn right."
26,d,"Go on the right side of the car that is partially blocking the lane, then proceed back onto the left lane."
27,s,Turn to the far right lane
28,s,"Switch partially to the right lane before reaching the car in front, and then stop at the stoplight."
29,s,
30,,Turn left slowly at the intersection
31,,
32,,Take the very first left
32,d,
33,d,Slow down when you are close to the large vehicle in front.
34,s,"Slightly go on the right lane, across the double marked lines, to avoid hitting the truck in front, then go back to the left lane."
35,,
36,,
37,s,"Go between the solid lines to avoid the vehicles on the left lane, then go back to the left lane once that is cleared."
38,s,"After passig the obstruction on the left side of the road, merge back onto the left lane"
39,,
41,s,Turn left onto the leftmost lane
41,s,Switch to the rightmost lane
42,s,Stay on the right side of the lane to avoid hitting the car on your left side of the lane
42,s,Keep staying on the right side to avoid hitting the second car on the left side of your lane
42,s,Go back onto the left lane
43,d,Slow down when you see when group of individuals crossing the street.
43,s,
44,d,Slow down when the white truck turns left
45,,
45,d,Stop at the toll gate once the car ahead passes through it
45,d,Pass the toll gate when the gate opens
46,s,
47,,
48,d,Slow down when the person crosses the road
48,,Turn right at the intersection
49,s,Take the very first left and stay on the leftmost lane
50,,Take the very first left and go straight
51,s,"Go on the right side of the parked cars, then go back to the lane once it's clear"
51,s,Stop right before the intersection
52,d,Stay on the left side of the car approaching you
52,s,"Stay in the middle of the road to avoid the vehicle on the left and right side of the road, then go back on the left side."
52,ds,Turn left at the intersection
53,,
54,,Make a left turn
54,s,"Stay in the middle of the lane to avoid the vehicles on the left and right sides of the road, but then proceed to switching to the left lanes ones the cars on the left clear."
55,,
56,,Follow the road.
56,d,Take the right turn that the grey vehicle in front of you takes.
57,d,"Go straight, even once you see the individual crossing the crosswalk. Once passed the crosswalk, switch to the left lane."
58,s,Switch to the left lane once passing the parked vehicles that are on the left lane. Then take the first left
59,,
60,d,Start moving forward slowly when the vehicle in front of you starts to move.
61,,Switch to the left lane.
61,d,Follow the vehicle in front of you.
62,,
63,s,Stop right before the intersection.
63,d,Follow the vehicle in front of you.
64,,
65,,Make a right turn and go straight
65,,
66,d,"Slowly move forward when there are no cars approaching from behind, but stop once cars are nearby."
67,d,Switch to the left lane once it is clear.
67,d,"Stop right before the crosswalk to let the individual pass, then proceed as normal after."
68,d,Make a left turn once all cars from the left side have turned compeltely.
69,,
70,,Make a left turn at the intersection
71,s,"When you see the construction in front of you, take the first left."
72,d,Make a right turn when the white vehicle passes you from the left.
73,s,
73,,Turn right.
74,d,Make a left turn when all vehicles from the left side pass by.
75,,
76,,Make a right turn.
76,,Make another right turn.
92,,
93,,Make a right turn into the middle lane and go straight
94,ds,Stop behind the vehicle in front of you.
95,ds,Start moving forward when the vehicle in front of you starts to go forward.
96,,
97,ds,Start moving forward when the vehicle in front of you starts to go forward.
98,,
99,,"Switch to the left lane once it is clear to switch, and then go striaght."
100,,
100,,
101,s,Switch to the right lane once you pass all objstructions on the right side of the road.
102,,Make a right turn and go straight.
103,,
103,d,Slow down when the car from the left hand side starts to turn onto the road.
104,,
105,,
105,d,Keep a distance between the car in front of you.
106,,
107,,
108,d,Make a right turn after the vehicle form the left side has passed.
109,,Go about the roundabout and keep going straight
110,,
