Scene Number,Instruction Type,Instruction
1,s,Turn right and move to the other lane carefully to avoid the trucks on the side of the road. Move back to other lane when the trucks clear up.
2,s,Turn right and continue down this road. The road will change from two lanes into one lane.
3,sd,"Go straight, but make sure to stop for the crossing bar. Continue forward and watch out for the group of people crossing the road."
4,,Continue going straight.
5,sd,Turn and merge onto the left lane. Follow the yellow car in front.
6,d,"Continue straight then change lanes when the car is in the way, then turn left immediately."
7,s,Continue straight and then turn left. Watch out for pedestrians on the road.
8,,Continue straight and then turn left.
9,,Continue going straight.
10,s,Turn right and then continue going straight. Merge onto the left lane once the trucks clear up.
11,s,Turn and split the lanes in order to avoid the trucks. Get back onto our side once the construction clears up.
12,,Continue going straight.
13,,Continue going on the same lane
13,d,Follow yellow bus.
14,,Continue going on the same lane
14,d,Follow yellow bus.
15,,Continue going on the same lane
15,d,Follow yellow bus.
16,s,Turn left and then continue going straight. Move on to the other lane when the FedEx truck is blocking our lane.
17,sd,Continue going straight and then change lanes to take a left. Wait for people to finish crossing
18,s,Merge on to the lane in front and then take the left turn.
19,sd,Take a left turn and then continue going straight. Watch out for people crossing. Start moving to the left.
20,d,Wait for the black car to pass and then go straight and take a right. Then continue going straight.
21,d,Wait for the cars to pass and the people to cross. Then move slowly and take a right turn.
22,s,Switch to the left lane and continue going straight. Then take a left turn.
23,s,Quickly switch lanes to avoid the car in the road and then continue going straight in the same lane.
24,d,Continue going straight and merge onto the upcoming lane. Watch out for people crossing.
25,d,Wait for the person and car to cross. Then take a right turn.
26,s,Quickly change lanes to avoid the car then get back to the left lane and continue going straight. Slow down behind the person in the motorcycle.
27,d,Wait for the motorcycle person to pass and then take a right turn and go straight.
28,s,Switch lanes and then go back to the orginal lane. Then wait at the stop lights. Wait for the people crossing.
29,,Just wait for the lights.
30,,Go straight on the lane. Then wait for a little bit before taking a left.
31,,Follow the current lane.
32,,Take a left turn and merge onto the new road. Then continue on the new lane.
33,d,Continue going on the same lane. Slow down for the bust in front.
34,s,Continue on the same lane. Move to the next lane to avoid the truck and then get back onto the previous lane.
35,,Continue straight on the same lane.
36,,Continue on the same lane.
37,,
38,d,Follow the gray car.
38,s,Split the lane to avoid the trucks on the side of the road.
39,,Continue straight
41,s,Take a left turn and the continue going straight. Stop behind the white car.
42,s,Continue going straight and move slightly right to avoid the truck on your left.
43,s,Keep going straight and then stop at the stop light.
44,,Keep going straight and follow the same lane.
45,sd,Move slowly forward and stop behind the car in front of you. Stop in front of the crossing guard. Move once the crossing guard goes up.
46,,
47,,
48,sd,Slow down and watch the pedestrian and the turn right and continue going straight
49,s,Keeping going straight then at the next turn take a left
50,s,Keep going straight and then take the first left
51,s,Switch lanes temporarily and then go back to the left lane and wait
52,sd,Slow down and avoid the white car. Switch lanes to avoid the car in front and then take a left turn at the end of the street
53,,
54,sd,Take a left turn and aviad the cars and trucks  to the left. Split the lane until the trucks clear up.
55,,
56,s,Continue going straight and then take the first right turn when available
57,s,Take a right turn and then continue going straight.
58,s,Keep going straight and then switch to the left lane and take a left.
59,,
60,,
61,s,Take the left turn and merge on to the road.
61,d,Follow the white van.
62,s,Keep going straight and then switch to the left lane
63,,
64,,
65,s,Take the right turn and then keep going straight.
66,,
67,sd,Switch to the left lane and then keep going straight. Stop for the pedestrian. Then continue going straight.
68,s,Keep going straight and then take a left.
69,,
70,s,Keep going straight and then take a left.
71,s,Follow the road and then take a left to avoid the construction vehicle ahead.
72,s,Take a right turn and then continue.
73,s,Go straight and then take a right turn.
74,s,Take a left turn and merge onto the road and then continue going straight.
75,,
76,s,Take a right and then take another right.
92,,
93,,Take a right turn and then continue going straight.
94,,
95,,
96,,
97,,
98,,
99,s,Switch to the left lane and then keep going straight.
100,s,Keep going straight and then switch to the right lane after the light.
101,s,Turn right and then continue going left.
102,d,"Keep going straight, but wait for the black van to merge on to the road."
103,s,"Keep going straight, slow down for the black van to merge"
104,,
105,,
106,,
107,d,Slow down a little to allow the bus to merge
108,sd,Wait for cars to pass and then turn right and keep going straight
109,s,Keep going straight around the roundabout
110,,
120,s,Keep going straight and slow down for the bump
121,,
122,s,Keep going straight and wait for the other vehicles to pass before turning right
123,s,Merge to left lane and continue on that lane
124,,
125,s,Stop at the next left turn
126,s,Take a left turn and keep going straight and take the next right
127,sd,Wait for the bar to raise and the go slowly straight.
128,,
129,s,Take a right turn and keep going straight
130,d,Wait for the pedestrians to pass before going straight
131,d,Wait for the white car to pass before turning left and merging onto the lane 
132,s,Slow down before take a left turn
133,s,Take a slight right to avoid the bus and then move back to the left lane.
134,sd,Wait for the white car to pass before turning left and merging onto the leftmost lane
135,,
138,,
139,,
149,s,Take a left turn and then continue down the road
150,,
151,s,Take right turn and continue down the road
152,s,Move to the right lane to avoid the bus
154,sd,Take a left turn and merge onto the street. Shift slightly to the right to avoid the yellow car
155,sd,Take a left turn and then take another left turn on the next left.
157,s,Wait for the motorcycle to pass before taking a right turn
158,d,Wait for the worker to remove the cone before continuing straight and then follow the truck in front
159,d,Wait for the workers to pass before continue down the street and then merging onto the lane
160,d,Wait for the blue car to pass before moving to the right lane
161,d,Wait for the black car to pass before going down the road
162,s,Turn left and then turn right
163,,
164,s,Take right turn and then go straight
165,,
166,,
167,,
168,,
170,s,Take left turn and then merge onto the lane and stop right before the yellow truck
171,s,Continue down the road and move a little bit to the left to avoid the parked trucks
172,s,Stop right before the bus and then turn at the incoming left
173,s,Turn left at the dead end
174,s,Turn left and then continue going straight
175,s,Go towards the dead end and then stop
176,s,Stop at the stop sign and then turn right
177,d,Stop at the gate and then continue once the gate opens
178,s,Keep going straight and then take right down hill
179,sd,Merge onto the the street after the pedestrian passes
180,,
181,s,Wait for the gate to open and then continue straight
182,,
183,,
184,,
185,d,Turn right and wait for the pedestrians to pass before continuing straight
187,,
188,,
190,s,Go straight and then stop behind the grey car
191,s,Turn right and then continue going down the road
192,sd,Wait for the cars to pass and then turn left and merge onto the road
193,,
194,d,Stop behind the gray car at the stoplight
195,,
196,,
199,,
200,s,Move slightly to the left of the gray container and then continue driving
202,,
203,sd,Drive to the left and wait for the pedestrian to pass before continuing to drive
204,,
206,s,Slow down before turning to the left
207,,
208,d,Wait for the cars to merge onto the street before going straight
209,,
210,s,Slow down and move little to the left to avoid the other trucks and then turn left
211,s,Turn left  and then stop for a little bit before heading down the road
212,d,Slow down for a little bit to avoid the truck and then continue driving down the road
213,,
214,,
218,,
219,,
220,,
221,sd,Slow down and wait for the people to cross before turning left
222,,
224,,
225,sd,Stop at the stoplight and wait for the people to cross before turning right
226,,
227,,
228,,
229,,
230,s,Slow down and move to the left a little to avoid the construction zone 
231,,
232,,
233,,
234,s,Stop at the crosswalk and then turn right and continue going straight
235,,
236,,
237,s,Move a little to the left to avoid the truck and then stop at the stoplight
238,s,Slow down and move towards the curb on the right and then stop
239,,
240,s,Merge to the left lan and then continue straight
241,,
242,,
243,,
244,,
245,,
246,s,Merge to the left lane to avoid the stopped card and then continue straight
247,s,Keep going straight and the move to the right lane
248,,
249,s,Turn to the right and then continue going straight down the lane
250,d,Wait for the pedestrians to cross and then turn to the right and the keep going straight
251,,
252,,
253,,
254,,
255,sd,Stop at the cross walk and then turn to the left after the gray car merges
256,d,Take a slight right to avoid the trucks and stop behind the smaller truck
257,,
258,,
259,sd,turn right and the slow down behind the bus
260,,
261,,
262,sd,Turn right after the pedestrians pass
263,,
264,,
268,s,Shift to the right lane
269,s,Turn left and then continue down the road
270,,
271,s,Pass the stopped car and then stop
272,s,Continue down the road and then take a left
273,s,Shift to the right lane and then back to left lane and then back to the right lane
274,,
275,s,Stop at the stoplight
276,,
277,s,Continue down the road and then take a right
278,,
283,s,Take a right and then stop at the stop sign
284,s,Take a left at the stop sign and then continue going down road
285,,
286,s,Take a right and then continue down the road
287,,
288,,
289,,
290,,
291,,
292,s,Shift to the left lane to avoid the stopped vehicles and then continue down the road
293,s,Shift to the right lane and then continue down the road
294,s,Stop at the intersection
295,,
296,s,Take a right turn
297,d,Wait for the pedestrians to pass and then continue down the road
298,s,Turn right and then continue down the road
299,,
300,s,Shift to the left lane
301,,
302,,
303,,
304,,
305,sd,Shift to the right lane and then left the truck pass behind and then continue down the road
306,,
315,,
316,,
317,d,Shift to the right to let the blue bus pass and then take a right turn
318,d,Shift to the right to let the yellow bus pass and then continue
321,,
323,,
324,,
328,s,Take a right turn and then take another right
329,,
