Scene Number,Instruction Type,Instruction
1,sd,"turn left into the road, Drive around road blockages"
2,s,turn left
3,d,"Wait unitl the gate opens, move forward, slow down for pedestrians, stop for incoming traffic"
4,d,be catious of pedestrians
5,s,Follow the cones to merge onto the other lane
6,s,"Slow down for road obstruction, Move to the right lane, Move back to left lane and make a left turn. "
7,,turn left
8,,turn left
9,,
10,,switch to the left lane
11,s,Drive around the road obstruction
12,,
13,,
14,d,continue straight when vehicle in front starts continuing straight
15,,
16,s,"turn left , Drive around the road obstruction"
17,d,"switch lanes to the left lane, stop for incoming pedestrians"
18,s,"make a left turn and drive aroudn road obstructions, turn left"
19,sd,"turn left, make another left turn. "
20,,Turn right into the road when traffic is clear
21,d,Turn right into the road when traffic is clear
22,,"switch to the left lane, make a left turn. "
23,s,Drive around road blockages
24,d,"stop for incoming traffic, if clear continue straight. "
25,d,"stop for incoming traffic and pedestrians, once clear move straight. "
26,s,"Drive around the vehicles blocking the road, come to a complete stop behind stop vehicle. "
27,d,once vehicle begins to move turn to the right
28,sd,Drive around the road obstruction.
29,,
30,d,turn to the right once traffic is clear
31,,
32,d,"turn left, turn left again. "
33,,
34,s,Drive around the road obstruction
35,,
36,,
38,s,Drive around the road blockages
39,,
41,s,"turn left, switch lanes all the way to right, stop behind the car"
42,,
43,,
44,,
45,d,continue forward once gate opens
46,s,
47,,
48,,"make a right turn, switch to the left lane"
49,,turn left
50,,turn left
51,s,"Drive around road blockages, come to a complete stop then continue straight. "
52,sd,"slow down for incoming vehicle, avoid road obstruction, come to a complete stop then turn left. "
53,,
54,s,"turn left, avoid road obstruction"
55,,
56,,turn right
57,,switch to the left lane
58,,"switch to the left lane, turn left"
59,,
60,,
61,,turn left
62,,switch to the left lane
63,,"slow down and stop, once road is clear continue straight. "
64,,
65,,turn right
66,d,check for incoming vehicles on left lane
67,d,"switch to left lane, stop for incoming pedestrian, once clear continue straight. "
68,,turn left
69,,turn left
70,,turn left
71,,turn left
72,d,wait for incoming traffic then turn right
73,,turn right
74,,turn left
75,,
76,,"turn right, turn right"
92,,
93,,turn right
94,,slow down
95,d,"once vehicle in front moves, continue straight"
96,,
97,d,"once vehicle in front moves, continue straight"
98,,
99,d,"once there is no vehicles in the left lane, switch to the left lane. "
100,,
101,d,"once vehicle in front moves, continue straight"
102,,turn right
103,d,slow down for incoming vehicle
104,,
105,,
106,,
107,,
108,,wait for incoming traffic then turn right
109,,
110,,
120,d,"slow down at gate, once it opens continue straight"
121,,
122,d,"stop for incoming traffic, turn right"
123,,switch to left lane
124,,
125,,"switch to left lane, stop at intersection"
126,,"turn left, turn right"
127,d,"slow down for oncoming pedestrians and traffic, continue straight once clear. "
128,,
129,,turn right
130,d,"stop for pedestrians, once clear continue straight"
131,d,"stop for on coming traffic, once clear turn left. "
132,,turn left
133,s,go around vehicle
134,d,"stop for incoming traffic, once clear turn left. "
135,,
138,,
139,,
149,,turn left
150,,
151,,turn right
152,,switch to the right lane
154,d,"turn left, slow down for incoming traffic"
155,d,"turn left, turn left and come to a stop for incoming pedestrians"
157,d,"wait until traffic is clear, turn right"
158,d,"wait for pedestrians, once clear continue straight"
159,d,"wait for pedestrians, once clear continue straight. "
160,d,"wait for incoming traffic, once clear continue straight"
162,d,"turn left, wait for incoming traffic once clear turn right. "
163,,
164,,turn right. 
165,,
166,,
167,,
168,,
170,s,turn left and avoid vehicile
171,,
172,s,"go around vehicle , turn left"
173,,
174,,turn left
175,,
176,,
177,,
178,,turn right
179,d,slowly move around walking pedestrian
180,,turn right
181,,
182,,
183,,
184,,
185,d,turn right and wait for pedestrian to pass by
187,d,slow down for pedestrian
188,,
190,,
191,,
192,d,wait till the road is clear of moving cars and turn left
193,,
194,,
195,,
196,,
199,,
200,s,go around road obstruction
202,,
203,d,turn right wait for incoming pedestrian
204,,
206,,
207,,
208,,
209,,
210,,turn left
211,,
212,,
213,,
214,,
218,d,wait for pedestrians
219,,
220,,
221,d,turn left and wait for pedestrians
222,,
224,,
225,,turn right
226,,
227,,
228,,
229,,
230,s,go around road obstruction
231,d,wait for walking pedestrians
232,,
233,,
234,,turn right
235,,
236,,
237,,
238,,stop beside the curb
239,,
240,,merge back into the road
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,turn right
251,,
252,,
253,,
254,,
255,,turn left
256,,switch lanes all the way to the right
257,,
258,,
259,,turn right
260,,
261,,
262,d,wait for incoming pedestrians. turn right
263,,
264,,
268,,
269,,
270,,
271,s,go around stationary vehicle and come to a complete stop
272,,turn left
273,,
274,,
275,,
276,,
277,,
278,,turn right
283,,turn right
284,,turn left
285,,
286,,turn right
287,,
288,,
289,,
290,,
291,,
292,,go around road obstruction
293,,
294,,
295,,
296,,turn right
297,d,wait for walking pedestrians
298,,turn right
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
315,,
316,,
317,s,go around road obstruction
318,s,go around road obstruction
321,,
323,,
324,,
328,,"turn right, turn right"
329,s,go around road obstruction
330,,stop beside the curb
331,,
332,d,wait for pedestrians 
344,,
345,,turn right
346,,
347,,
348,,turn right
349,s,go around road obstruction
350,,turn left
351,,turn left
352,,
353,,
354,,
355,ds,wait till the cone is removed by the worker
356,,
357,,
358,,
359,,
360,,
361,,turn left
362,,turn left
363,,turn right
364,,
365,,
366,,turn right
367,,turn right
368,,
369,,turn right
370,,
371,,
372,,turn left
373,d,wait for the car to finish parking
374,,
375,,
376,,
377,,
378,,
379,s,go around road obstruction
380,ds,go around road obstruction but wait for oncoming traffic
381,,turn right
382,,
383,,turn left
384,,turn right
385,,"turn left, turn left"
386,,turn left
388,,
389,,
390,,
391,,turn right
392,,
393,,turn right
394,,
395,,
396,,
397,,turn left
398,d,go around moving vehicle
399,,
400,,
401,,turn right
402,,
403,,
405,,turn right
406,,
407,,
408,s,go around road obstruction
410,,
411,,
412,,
413,,
414,,turn right
415,,
416,,
417,s,go around road obstruction
418,,
419,,
420,,turn left
421,,turn left 
422,s,go around the road obstruction
423,,turn left
424,,
425,,turn left
426,,turn left
427,,
428,,turn right
429,,
430,,
431,,
432,,
433,,
434,,
435,,turn right
436,,turn left
437,,
438,,
439,,
440,,
441,,switch to right lane
442,,
443,s,go around road obstruction
444,,
445,,
446,,"turn left, turn left"
447,,turn left
448,,
449,,turn left
450,,
451,,turn right
452,,turn right
453,,turn right
454,,turn left
455,,
456,,
457,,turn right
458,,turn left
459,,
461,,turn right
462,,
463,,
464,,
465,,
467,,
468,,
469,,
471,,
472,,
474,,change lanes to the right
475,,turn right
476,,turn right
477,,
478,,
479,,
480,,
499,,
500,,turn left
501,,
502,,turn right
504,,
505,,
506,,
507,,
508,,go straight at the roundabout
509,,
510,,turn left
511,,
512,,turn right
513,,
514,,turn right
515,,
517,,
518,d,"turn left, go around the vechile"
519,,
520,,
521,,
522,,
523,,go straight at the roundabout
524,,
525,,turn right
526,,
527,,
528,s,go around the vehicle obstructing the road
529,,
530,,
531,,turn right
532,,
533,,
534,,
535,s,go around the road obstructions
536,,turn right
537,d,let the car behind you pass in front of you by pulling over to the side and then continuing back on to the road
538,,turn right
539,,
541,,
542,,
543,,
544,,
545,,
546,,
552,s,"turn left, go around the road obstruction"
553,,
554,,
555,,
556,,turn left
557,,
558,,turn right
559,,
560,,
561,,turn left
562,,
563,,switch lanes to the right
564,,turn right
565,,
566,,turn right
568,,
570,,turn right
571,,
572,,
573,,
574,,"turn left, turn right"
575,,
576,,turn right
577,,
578,,
580,,turn left
582,,turn right
583,,
584,,turn right
585,,
586,,switch lanes to the right
587,,
588,,turn right
589,,turn right
590,,switch to left lane
591,,
592,,turn left
593,,turn right
594,,turn right
595,,
596,,turn left
597,,
598,,
599,,turn right
600,,
625,,
626,,
627,,
629,,go on the right road and go straight
630,,
632,,"turn right, turn right"
633,,
634,,turn left
635,,
636,,turn right
637,,
638,,turn left
639,,
640,,
641,,
642,,
643,,
644,,
645,,turn right
646,,
647,,
648,,
649,,turn right
650,,
651,,
652,,
653,d,stop for the pedestrians
654,,
655,,
656,,
657,,turn left
658,,turn left
659,,
660,,go left
661,,turn left
662,,
663,,turn left
664,,
665,,turn left
666,,
667,s,go around the vehicle
668,,
669,,turn right
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
681,,
683,,
684,,
685,,turn right
686,,
687,,
688,,
689,,
695,,
696,d,stop and wait for the pedestrians
697,,
698,,
700,,turn right
701,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,d,stop for the pedestrians
711,,switch lanes to the right
712,,
713,,
714,,
715,,
716,,turn right
717,,
718,,
719,,turn right
726,,
727,,
728,,
730,,
731,,
733,,
734,,
735,,
736,,turn left
737,,turn right
738,,
739,,
740,,turn right
741,,
744,,
746,,go all the way to the left lane
747,,
749,,
750,,
751,,
752,s,go around the road obstruction
757,,
758,,
759,,
760,,turn right
761,,
762,,turn right
763,,
764,,
765,,
767,,
768,,
769,s,"turn right, go around the vehicle"
770,,stop at the curb
771,,
775,,
777,,
778,,take a u-turn
780,,
781,,
782,,
783,,switch to the right lane
784,,
786,,
787,,
789,,
790,,
791,,
792,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
802,,
803,,
804,,
805,,
806,,
808,,
809,,
810,,
811,,
812,,switch lanes to the right
813,,
815,,"turn right, switch lanes to the right"
816,,turn left at the roundabout
817,,
819,,turn right
820,,
821,,follow the road
822,,
847,,
848,,switch to the right lane
849,,switch to the left lane
850,,
851,,
852,,switch to the right lane
853,,turn left
854,,
855,,turn right
856,,
858,,
860,,
861,,turn right
862,,
863,,turn right
864,,
865,s,"turn right, go around road obstruction"
866,,turn right 
868,,
869,,
870,,
871,,
872,,
873,,
875,,
876,,
877,,
878,,
880,,
882,,turn left
883,,
884,,
885,,
886,,
887,,
888,,turn right
889,,
890,,
891,,turn left
892,,
893,,
894,,turn left
895,,
896,s,go around the vehicle obstructing the road
897,,
898,,
899,,
900,,
901,,
902,,
