Scene Number,Instruction Type,Instruction
36,s,follow the road
38,sd,"follow the car ahead, avoid and drive around the vehicles on the side of the road"
39,,
41,s,turn left at the intersection and merge onto the far right lane
42,s,"go straight, move away slightly from parked vehicles "
43,,
44,sd,slow down at the intersection and wait for the white truck to turn then continue
45,,
46,,
47,s,continue straight at the intersection
48,s,"at the end of the construction turn right at the intersection, merge onto the left lane"
49,s,turn left at the intersection and continue straight 
50,s,take the next left turn
51,sd,drive around the parked cars on the left and continue straight
52,sd,"slow down as you approach the white car and continue along the road driving around any parked cars , take a left at the end of the road"
53,d,follow the white sedan ahead of you in your lane
54,sd,turn left at the end of the intersection and drive around avoiding parked trucks on the road
55,d,follow the gray car ahead and turn right at the same intersection as it
56,,
57,,
58,,turn left at the intersection 
59,,
60,,wait for the prius to move forward
61,,turn left follow the white van
62,,merge one lane over to the left
63,,
64,,
65,,take a right here and continue straight
66,d,wait until there are no vehicles approaching from behind 
67,sd,",merge onto the main road and stop at the cross walk and wait for pedestrian to cross"
68,,turn left at the intersection
69,,turn left here continue straight 
71,s,follow the road to the left and continue left at any obstructions
72,d,turn right at the intersection when no vehicles are approaching 
73,s,stop at the stop sign  and turn right
74,,turn left when no vehicle are approaching  from either side of the road
75,,
76,,take two immediate right turns
92,sd,continue straight and move away from obstacles and pedestrians 
93,,turn right and continue straight 
94,,
95,,
96,d,follow the white car ahead 
97,d,follow the white car ahead 
98,,
99,sd,merge onto the left lane when no vehicles are approaching from behind
100,,
101,d,follow the car ahead and go straight 
102,,turn right continue straight 
103,,
104,,
105,d,continue following the white car ahead
106,,
107,,continue straight
108,d,turn right when no vehicles are approaching
109,s,enter the roundabout and exit out the first turn
110,,
120,,
121,s,continue straight stay on the right lane 
122,,turn right when no vehicles are approaching
123,sd,merge into the left only lane after passing the parked truck and take the left turn 
124,,
125,,turn left at the end of the road
126,sd,turn left when no vehicles are approaching and follow the white car ahead turn right 
127,s,go straight drive around any parked vehicles or pedestrians
128,,
129,,
130,d,wait for pedestrians to cross the crosswalk and continue straight
131,d,turn left when no vehicle is approaching 
132,s,turn left after the speedbump
133,s,drive around the parked bus
134,,turn left here
135,,
138,,
139,s,drive around pedestrians on the side of the road and merge into the left only lane at the intersection
149,,turn left continue straight 
150,,
151,d,follow the gray car ahead and turn right
152,s,continue straight change lanes to avoid parked buses 
154,d,follow the road move away from approaching vehicle in the same lane 
155,,"turn left here, continue and turn into the left turn lane"
157,d,turn right when no vehicle is approaching 
158,sd,wait until worker moves away obstructing cone and follow the bus ahead
159,d,wait for all pedestrians to cross the road then continue 
160,sd,drive around parked traffic in the left lane however only change lanes when there are no vehicles approaching from the other side of the road
161,d,wait until there is no incoming vehicle from the left side
162,sd,exit the parking lot and turn right 
163,,turn right at the intersection continue straight 
164,,
165,,
166,,
167,,
168,,
170,s,turn left and stop by the yellow semi truck
171,,continue straight 
172,s,drive around the blue parked bus and turn left at the end of the road 
173,s,turn left at the stop sign
174,,
175,,
176,s,turn right at the stop sign when there are also no incoming vehicles
177,s,
178,,follow the road to the right at the fork in the road
179,,
180,,
181,,
182,,
183,,
184,,continue driving up the hill
