Scene Number,Instruction Type,Instruction
1,s,turn right and then slide into the left lane to avoid hitting the trucks
100,d,Wait until the car in front of you starts moving and make sure that the signal is green
101,d,"Wait untill the signal turns green, let the car in front of you start moving, once you have started moving slide into the right lane while avoiding collision with the construction equipment on the side of the road"
102,ds,"Make sure there is no one person on the zebra crossing in front of you, and make that the signal is green, then turn right make sure there's no one on the second zebra crossing, continue turing right until you have entered the lane"
103,d,"Pass through the yellow light, wait for the black SUV to join the lane, once it joins the lane continue driving"
104,ds,"make sure that the signal light in front of you is green, when the car in front of you starts moving you can start moving, continue driving in the same lane"
105,s,slide into the left-most lane and coninue driving in that lane
106,d,"continue driving in the leftmost lane, when the car in front of you begins to slowdown, you slowdown as well"
107,,go straight
108,d,wait for the white car to pass when the road is clear turn right
109,,Enter the round about and keep going straight
110,,go straight
120,s,"continue going straight in the left most lane, wait for the gate to open, once open drive"
121,,continue driving in the rightmost lane
122,,"Stop at the intersection, turn right"
123,s,"slide into the left-most lane and cexit from the main road, then continue to drive straight"
124,,go straight
125,ds,slide into the left lane and stop at the intersection to let the pedestrians pass.
126,d,turn left once the the car in front of you has passed
126,d,"slow down, then turn right once near the broken line section in the middle of the road"
127,s,"wait for the gate to open, then proceed slowly"
128,s,slow down at the zebra Crossing
129,s,"continue driving on the road, then stop at the zebra crossing and go straight."
130,d,"wait for the pedestrians to cross, then continue to go straight."
131,d,"wait for the car to pass, then turn left"
132,s,"stop at the intersection, turn left"
133,s,"slide into the right lane to avoid colliding with the bus,"
133,s,Slide back into the right lane to avoid colliding with the car in front
134,s,"stop at the intersection, then turn right"
135,,go straight
138,s,"stop at the crosswalk, then continue"
139,,conintue on the road
149,,turn right and continue on the road
150,,go straight
151,s,turn right at the intersection and stay in the right lane
152,s,slide into the right lane in order to avoid hitting parked busses
154,d,"complete the turn then slow down for the parkinmg car, continue slowly. Slide slightly to the left to avoid hitting the approaching car"
155,s,"after turing into the left lane continue along the road, then turn left in the turning lane, but first stop at the crossing and let the pedestrian cross"
157,s,"wait at the intersection, then turn right and continue in the left lane."
158,d,"wait for the construction worker to remove the traffic cone and then waive the flag, once given the signal to move, proceed slowly."
159,d,"wait for the pedestrians to cross, then slowly merge into left lanne of the main street"
160,d,"In order to merge into  the road, beign entering the street and then check on coming traffic once it is clear, merge into the street."
161,d,"wait for the Jeep to pass, then slowly move forward"
162,d,"turn right, then turn right agai to merge into the street."
163,,go straight
164,s,turn right and continue on the road
165,s,slow down in the construction zone then continue moving straight along the road
166,s,keep going straight and begin slowing down as we approach the stop sign.
167,,continue following the road 
168,,continue going along the road.
170,s,"turn left at the intersection, then stop near the parked Semi-truck"
171,s,"continue on road, avoid hitting parked vehicles"
172,s,"slow down ans stop for the stopped bus, once its safe to go, continue going straight and then make a left turn."
173,s,keep going straight and slow down as you enter the intersection.
174,s,turn left and then continue going straight.
175,s,stop at the intersectio and start moving when it is safe.
176,ds,"stop at the intersection near the stop sight, let the black truck pass,then turn right."
177,d,"stop at the gate, move slowly when the arm rises up."
178,,"continue driving on the road, stay on the right side."
179,d,"when the pedestrian passes, continue moving ahead."
180,s,turn right and then follow the arros on the street.
181,s,"wait for the gate to open, then proceed slowly"
182,,go straight
183,,go straight
184,,continue along the road
185,d,"turn right and wait for the pedestrian to cross, once he crosses start moving forward"
187,s,stop at the intersection 
188,s,continue following the road 
190,s,stop behind the stopped car
191,s,turn right at the T junction
192,d,turn left when it is safe to do so.
193,s,stop at the intersection
194,s,"follow the road, then stop at the intersection"
195,,continue straight on the road
196,,go straight
199,,go straight
200,s,swerve around the container
202,s,"turn right, stop at the stop sign, then continue driving"
203,ds,"stop at the zebra crossing wait for the pedestrian to cross, then continue driving"
204,,go straight
206,s,"slow down at the intersection, do a slight left turn."
207,d,"slow down when approaching the turning truck, once it turns come to gradual stop"
208,d,"wait for all the cars on the left side to pass, then continue driving."
209,s,stay in the right lane of the road
210,s,"slow down near the intersection, once you cross the intersection turn left."
211,s,complete the turn then continue going straight
212,d,"slow down, and let the truck pass, then continue going straight"
213,s,slow down and stop at the intersection
214,,
218,,
219,,
